id,name,artist_credit,platform,type,first_release_date_year
412675,"In Concert",1451963,Live,Album,1990
416184,"The Very Best of Dusty Springfield",46,Compilation,Album,1998
419635,"Greatest Hits, Volume Three: The Best of the Brother Years 1970-1986",1135,Compilation,Album,2000
429576,"Dance Party (Like It's 2003)",1,Compilation,Album,2002
429576,"Dance Party (Like It's 2003)",1,DJ-mix,Album,2002
436287,"Firefly: Original Television Soundtrack",304179,Soundtrack,Album,2005
449717,"Music and Rhythm",1,Compilation,Album,1982
455206,"Lost & Found: 1961â€“1962",1135,Compilation,Album,1991
459051,"Greatest Hits I & II",192,Compilation,Album,1994
483765,"Best of Cream",1435,Compilation,Album,1969
501518,"Little Fauss and Big Halsy",1302328,Soundtrack,Album,1970
503953,"Villaâ€Lobos par luiâ€mÃªme",1918775,Compilation,Album,1991
505056,"Apocalypse Now",1,Soundtrack,Album,1979
512462,"The Survivors",824171,Live,Album,1982
517448,"15 Big Ones / Love You",1135,Compilation,Album,2000
522181,"The Jungle Book: Original Cast Soundtrack",1350533,Soundtrack,Album,1967
524023,"No One Here Gets Out Alive",1757,Interview,Other,2001
525284,"101 Digital Sound Effects: Hilarious Comical Effects",105725,Compilation,Album,1993
528976,"The Complete Studio Recordings",1757,Compilation,Album,1999
538590,"Southern Journey, Volume 7: Ozark Frontier",1,Compilation,Album,1997
538759,"Southern Journey, Volume 3: 61 Highway Mississippi",1,Compilation,Album,1997
542125,"At San Quentin",387,Live,Album,1969
545397,"The Best of Aldo Nova",41436,Compilation,Album,2006
547576,"Bootlegs & Bâ€Sides",166,Compilation,Album,1994
551660,"Mass: A Theatre Piece for Singers, Players and Dancers",1272833,Soundtrack,Album,1971
555676,"The Concert for Bangladesh",2863,Live,Album,1971
561655,"Carry It On",33120,Compilation,Album,2004
566024,Love,303,Remix,Album,2006
573809,"Gold: Greatest Hits",910,Compilation,Album,1992
579247,"Mass Appeal: The Best of Gang Starr",32726,Compilation,Album,2006
585356,"Musical Soup: Mozart WombSong Collection",1,Compilation,Album,2000
589353,"Endless Summer",1135,Compilation,Album,1974
594886,"A Funny Thing Happened on the Way to the Forum",21609,Soundtrack,Album,1993
599478,"Ainâ€™t Misbehavinâ€™",48922,Soundtrack,Album,1978
612759,"Fiedler Encores",958911,Compilation,Album,NULL
