id,release,format,artist_credit,release_group,language
18510,18510,CD,2146353,40211,English
18520,18520,CD,446,97088,English
18524,18524,CD,2501,62846,English
18642,18643,CD,2869,154451,English
18643,18643,CD,2869,154451,English
18681,18681,CD,191,22835,English
18682,18681,CD,191,22835,English
18884,18884,CD,939,564113,English
18985,18985,CD,190,281533,English
18986,18985,CD,190,281533,English
19085,19085,CD,1352,38817,English
19089,19089,CD,1605,106370,English
19100,19100,"12" Vinyl",2003,77391,English
19290,19290,CD,22351,46793,English
19466,19466,CD,36038,102433,Dutch
19619,19619,CD,1104,42384,English
19630,19630,CD,258,628146,English
19631,19632,CD,258,628146,English
19632,19632,CD,258,628146,English
19702,19702,CD,4,576,English
19767,19767,"12" Vinyl",382,283400,English
19772,19772,CD,199966,295286,Spanish
19778,19778,CD,1091,407796,English
19790,19790,CD,20660,48402,English
19969,19969,CD,242,724150,English
19973,19973,CD,242,724141,English
19993,19993,"Enhanced CD",53142,522170,English
20013,20013,CD,191,20361,English
20030,20030,CD,37,297060,English
20034,20034,CD,37,297060,English
20035,20035,CD,37,297060,English
20036,20036,CD,37,297060,English
20037,20037,CD,37,297060,English
20038,20038,CD,37,297060,English
20040,20040,CD,37,297060,English
20090,20090,CD,945765,1089772,"[Multiple languages]"
20184,20184,CD,1754424,115026,English
20188,20188,CD,2062,602506,English
20196,20196,CD,64489,723639,English
20344,20344,CD,1,76485,English
20360,20360,CD,51580,298096,English
20436,20436,CD,1,92404,English
20437,20436,CD,1,92404,English
20512,20344,CD,1,76485,English
20556,20556,CD,1170621,285856,Finnish
20577,20577,CD,51559,281940,English
20589,293732,CD,1,299201,English
20744,20744,CD,37,5431,English
20958,20959,CD,1001934,137531,English
20959,20959,CD,1001934,137531,English
20984,20984,CD,1181,858885,English
20990,20990,"Enhanced CD",44954,255997,English
21010,21010,CD,2050970,1632383,English
21017,21017,CD,3025,215784,English
21039,21039,CD,2105,63187,English
21247,21250,CD,10115,301812,English
21248,21250,CD,10115,301812,English
21249,21250,CD,10115,301812,English
21250,21250,CD,10115,301812,English
21251,21250,CD,10115,301812,English
21252,21250,CD,10115,301812,English
21253,21250,CD,10115,301812,English
21254,21250,CD,10115,301812,English
21255,21250,CD,10115,301812,English
21256,21250,CD,10115,301812,English
21257,21257,CD,1112306,78629,English
21263,21263,CD,10115,101575,English
21271,21271,CD,10115,241464,English
21274,21274,CD,10115,145150,English
21275,21275,CD,10115,662995,English
21276,21276,CD,10115,414490,English
21375,21375,CD,30469,88528,English
21390,21390,"Copy Control CD",1884,183626,German
21403,21404,CD,259,84664,English
21404,21404,CD,259,84664,English
21639,21639,CD,21532,91253,English
21807,21807,CD,838,24170,English
21936,21936,CD,16258,99645,English
21943,21943,CD,5123,49641,English
22020,22020,CD,2013606,149911,English
22023,22023,CD,1060,303961,English
22100,22100,CD,1,279106,English
22101,22100,CD,1,279106,English
22103,22103,CD,1,208471,English
22104,22103,CD,1,208471,English
22192,22192,CD,9163,17249,English
22409,22409,CD,53142,195151,English
22455,22455,CD,53142,107483,English
22457,22457,CD,53142,305064,English
22518,22518,CD,14239,101490,English
22655,22655,CD,255,128769,English
22656,22656,CD,255,254144,English
22763,22763,CD,1013,30123,English
22777,22777,CD,383,193573,English
22778,22777,CD,383,193573,English
23047,23047,CD,349,63117,English
23076,23076,CD,507,80670,English
23107,23107,"Enhanced CD",11,59228,English
23230,23230,CD,838,24170,English
