artist_id,genre,count
153653,"hip hop",1
153653,electronica,1
196616,experimental,1
196616,"hip hop",1
196616,glitch,1
97546,classical,-2
29,pop,1
29,funk,1
29,soul,5
29,"pop soul",1
29,"contemporary r&b",1
172,"hip hop",3
188,rock,0
188,"heavy metal",8
188,metal,0
188,"hard rock",4
188,"pop rock",1
188,"symphonic rock",1
188,"glam metal",1
815,rock,6
815,pop,7
815,folk,1
815,experimental,5
815,singer-songwriter,1
815,"classic rock",1
815,"pop rock",1
1051,classical,1
1051,musical,1
1629,blues,1
1629,funk,9
1629,soul,11
1629,disco,2
1629,"christmas music",2
1679,rock,1
1679,funk,2
1679,soul,2
1679,disco,1
1679,r&b,1
1679,"contemporary r&b",1
2122,rock,3
2122,classical,1
2122,pop,7
2122,folk,1
2122,singer-songwriter,1
2122,"pop rock",3
2122,"rock and roll",1
2122,"pop soul",1
2762,"hip hop",3
3824,jazz,2
3824,afrobeat,1
4293,jazz,1
5006,rock,1
5006,"progressive rock",3
5006,"new age",2
5006,"art rock",2
5006,"pop rock",1
5006,"christmas music",2
9664,soul,1
11213,"hip hop",2
11636,"heavy metal",1
11636,metal,1
14911,folk,1
14911,soul,1
22656,"hip hop",5
22656,"pop rap",0
22656,"boom bap",0
22656,"east coast hip hop",1
24583,"country rock",1
30871,"hip hop",2
36371,rock,1
36371,folk,1
36655,"pop rock",1
44869,rock,1
48222,"heavy metal",1
48222,"hard rock",1
48222,"psychedelic rock",1
75716,"hip hop",2
104671,soul,1
104671,"pop soul",1
134299,rock,1
161616,soul,1
197559,"hip hop",1
236738,"heavy metal",1
236738,metal,1
307443,rock,1
312443,soul,1
411164,soul,1
469958,soul,1
486476,electro,1
486476,"electro house",1
486478,electro,1
486478,"electro house",1
545282,"hip hop",1
654102,dancehall,1
967226,jazz,1
387,rock,1
387,folk,4
387,blues,2
387,singer-songwriter,1
387,rockabilly,3
387,country,13
387,americana,4
387,"spoken word",1
387,"contemporary folk",2
387,gospel,1
387,"rock and roll",1
387,"outlaw country",1
387,"traditional country",1
813,rock,5
813,folk,2
813,singer-songwriter,2
813,americana,3
813,"classic rock",1
813,"pop rock",2
813,"contemporary folk",1
1803,rock,2
1803,pop,0
1803,blues,1
1803,rockabilly,3
1803,country,2
1803,"rock and roll",0
1803,"honky tonk",1
1830,bluegrass,1
1830,country,3
1830,"christmas music",1
2365,"symphonic rock",1
3533,rock,1
3533,rockabilly,2
3533,country,2
3641,country,1
4510,classical,2
4510,jazz,1
6083,rock,0
6083,folk,0
6083,blues,1
6083,reggae,0
6083,country,3
6083,"country rock",0
6083,"country pop",1
6083,"alternative country",0
6083,"outlaw country",3
9019,"contemporary christian",1
9028,classical,1
