album_id,genre
27262,"hard rock"
27262,"classic rock"
27262,rock
27357,"heavy metal"
27357,rock
27357,"hard rock"
27357,rock
27357,metal
27357,rock
27357,"heavy metal"
27357,"progressive metal"
27357,"hard rock"
27357,rock
27357,"progressive metal"
28519,"progressive rock"
28519,rock
28519,"progressive rock"
28519,"progressive rock"
28519,"progressive rock"
28519,"psychedelic rock"
28519,"art rock"
28519,rock
28519,rock
28519,pop
28519,"alternative rock"
28519,"progressive rock"
28519,"hard rock"
28519,"psychedelic rock"
28519,"art rock"
28519,"classic rock"
28519,"space rock"
28519,"symphonic rock"
28519,"progressive rock"
28519,rock
28519,"alternative rock"
28519,"psychedelic rock"
28519,"art rock"
28519,"classic rock"
28519,rock
28519,"progressive rock"
28519,"classic rock"
28519,rock
28519,pop
28519,"classic rock"
28519,"alternative rock"
28519,"space rock"
28519,rock
28519,"progressive rock"
28519,rock
28519,pop
28519,"progressive rock"
28519,"classic rock"
28519,"hard rock"
28519,"art rock"
28519,"alternative rock"
28519,"alternative rock"
28519,rock
28519,rock
28519,rock
28519,"alternative rock"
28519,"classic rock"
28519,"art rock"
28519,rock
28519,"art rock"
28519,"progressive rock"
28519,"psychedelic rock"
28519,"alternative rock"
28519,"progressive rock"
28519,"art rock"
30961,rock
30961,"pop rock"
30961,"progressive rock"
30961,"pop rock"
30961,aor
30961,rock
30961,rock
30961,rock
30961,rock
30961,rock
30961,rock
30961,rock
30961,rock
30961,aor
30961,aor
30961,"progressive rock"
31049,"heavy metal"
31049,"hard rock"
31049,"arena rock"
31049,"glam metal"
31049,"heavy metal"
31049,"hard rock"
31049,"arena rock"
31051,"funk soul"
31051,"alternative rock"
31051,"pop rock"
31051,rock
31051,rock
31051,"alternative rock"
31051,"pop rock"
31051,rock
31051,rock
31051,rock
31051,"alternative rock"
31794,pop
31794,folk
31794,"contemporary folk"
31794,"folk pop"
31794,folk
31794,pop
31794,folk
31794,folk
31794,pop
31824,"folk rock"
31824,"pop rock"
31824,"folk rock"
31824,rock
31824,pop
31824,"folk rock"
31824,"soft rock"
31824,"acoustic rock"
31824,"pop rock"
31824,"folk pop"
31824,rock
31824,rock
31824,"folk rock"
31824,"pop rock"
31824,rock
31824,"soft rock"
31824,rock
31824,rock
31824,pop
31824,"soft rock"
31824,"pop rock"
31824,"folk rock"
31824,"folk rock"
31824,"folk pop"
32224,"latin rock"
32224,"psychedelic rock"
32224,"blues rock"
32224,"latin rock"
32224,rock
32224,psychedelic
32224,"funk soul"
32224,"blues rock"
32224,"funk soul"
32224,rock
32224,latin
32224,"funk soul"
32224,rock
32224,"hard rock"
32224,fusion
32224,"psychedelic rock"
32224,latin
32224,"classic rock"
32224,"latin rock"
32224,"hard rock"
32224,"latin rock"
32224,latin
32224,rock
32224,"classic rock"
32224,rock
32224,"blues rock"
32224,rock
32224,"psychedelic rock"
32224,"latin rock"
32224,latin
32552,rock
32552,rock
32552,"classic rock"
32552,rock
32552,rock
33905,"classic rock"
33905,bluegrass
33905,"folk rock"
33905,psychedelic
33905,"country rock"
33905,"classic rock"
33905,"psychedelic rock"
33905,"psychedelic rock"
33905,rock
33905,"folk rock"
33905,"folk rock"
33905,psychedelic
33905,rock
34317,country
34317,country
34317,country
34394,rock
34394,"progressive rock"
34394,"classic rock"
34394,rock
34394,"progressive rock"
34394,"progressive rock"
34394,"classic rock"
34394,"progressive rock"
34394,"progressive rock"
34394,rock
34394,jazz
34394,"art rock"
35112,"soft rock"
35112,"alternative rock"
35112,rock
35112,electronic
35112,"heavy metal"
35112,"soft rock"
35112,"rock and roll"
35112,"punk rock"
35112,"rock and roll"
35672,pop
35672,pop
35828,"noise pop"
35828,"noise pop"
35828,rock
35828,noise
35828,psychedelic
35828,"noise pop"
35828,rock
35828,"alternative rock"
35828,noise
35828,shoegaze
35828,psychedelic
35828,"noise pop"
35828,psychedelic
35828,rock
35828,"alternative rock"
35828,"alternative punk"
35828,rock
35828,"alternative rock"
35828,shoegaze
35828,psychedelic
35828,"noise pop"
35828,"alternative punk"
35962,rock
35962,pop
35962,"alternative rock"
35962,"new wave"
35962,reggae
35962,"power pop"
35962,"pop rock"
35962,rock
35962,"alternative rock"
35962,"alternative rock"
35962,rock
35962,"new wave"
35962,"pop rock"
35962,"alternative rock"
35962,"alternative rock"
35962,rock
35962,pop
35962,"new wave"
35962,rock
35962,"alternative rock"
35962,"pop rock"
35962,"new wave"
35962,"alternative rock"
35962,rock
35962,pop
35962,"pop rock"
35962,"alternative rock"
35962,rock
35962,"alternative rock"
35962,"pop rock"
35962,"alternative rock"
36306,rock
36306,rock
36306,rock
36306,rock
36306,blues
36306,rock
36306,"folk rock"
36306,"folk rock"
36490,"progressive rock"
36490,"classic rock"
36490,"progressive rock"
36490,rock
36490,"art rock"
36490,"classic rock"
36490,"progressive rock"
36665,rock
36665,"progressive rock"
36665,rock
36665,"progressive rock"
36665,progressive
36665,"psychedelic rock"
36665,"art rock"
36665,"classic rock"
36665,"space rock"
36665,rock
36665,"classic rock"
36665,"space rock"
36665,rock
36665,rock
36665,"art rock"
36665,"progressive rock"
36665,rock
36665,"art rock"
36665,rock
36665,"progressive rock"
37204,post-rock
37204,indie
37204,rock
37204,"indie rock"
37204,rock
37204,"indie rock"
37254,pop
37254,funk
37254,rock
37254,pop
37254,funk
37254,soul
37254,r&b
37658,pop
37658,disco
37658,"pop rock"
37658,pop
37723,rock
37723,"hard rock"
37723,"classic rock"
37723,rock
37723,pop
37723,"hard rock"
37723,"classic rock"
37723,"pop rock"
37723,"progressive rock"
37723,"heavy metal"
37723,"hard rock"
37723,"glam rock"
37723,"art rock"
37723,"classic rock"
37723,"arena rock"
37723,"arena rock"
37723,"hard rock"
37723,rock
37723,rock
37723,"hard rock"
37723,rock
37723,pop
37723,"hard rock"
37723,"classic rock"
37723,rock
37723,rock
37723,"hard rock"
37723,"heavy metal"
37723,"hard rock"
37723,"glam rock"
37723,"art rock"
37723,"arena rock"
37723,"arena rock"
37723,rock
37723,"hard rock"
37789,folk
37789,"folk rock"
37789,"country rock"
37789,"contemporary folk"
37789,rock
37789,rock
37789,folk
37789,"folk rock"
37789,"country rock"
37789,"contemporary folk"
37789,"folk rock"
37789,rock
37789,folk
37789,rock
37789,rock
37789,"folk rock"
37789,rock
37897,"blues rock"
37897,rock
37897,"blues rock"
37897,rock
37897,psychedelic
37897,"blues rock"
38280,folk
38280,"acoustic rock"
38280,"folk pop"
38280,folk
38280,folk
38280,folk
38280,folk
38281,"folk rock"
38281,"contemporary folk"
38281,rock
38281,rock
38281,"folk rock"
38281,"contemporary folk"
38281,rock
38281,rock
38281,rock
38760,"hip hop"
38760,"conscious hip hop"
38760,"hip hop"
38760,"conscious hip hop"
38760,"conscious hip hop"
38761,"heavy metal"
38761,"hard rock"
38761,"arena rock"
38761,rock
38761,rock
