name,artist_credit
"Haus der LÃ¼ge",9704
"Buffalo Springfield Again",2531
"The Cold White Light",21370
"Dangerous Toys",6958
"Peter, Paul and Mary",1349186
"One of These Nights",11386
Uh-oh,11368
Bayleaf,41529
Poison,33012
"In the Fishtank, Volume 5",867885
"Layla and Other Assorted Love Songs",3098
Beat,2259
"25 Symphony Favorites",1
"Another Night",15739
"Dear Dear",23032
"Ibiza Annual: Summer 2001",1
"Class Brass: Classical Favorites for Brass",31711
"Kate & Anna McGarrigle",21189
TNT,10960
"I Am What I Am",2489
"Toni Braxton",214
"Heart of Stone",311
Heart,1883
Horses,2003
"Half Hour of Power",15092
"From the Mars Hotel",1528
"Blues for the Red Sun",5593
"Only a Lad",326
"Backstreetâ€™s Back",486
"Oedipus Schmoedipus",2975
"Hard Workinâ€™ Man",2351
"A World of Dreams",1
Lamb,1742
Go!,12150
"Surfing on Sine Waves",65694
"The James Bond Themes",1433464
"Girls, Girls, Girls",36594
"300 Percent Density",6101
"Iâ€™m a Rebel",36125
"Hvis lyset tar oss",14245
Firestarter,44954
"DvoÅ™Ã¡k: â€œAmericanâ€ Quartet / Tchaikovsky: Quartet no. 1 / Borodin: Quartet no. 2",1116437
"Bon Jovi",14423
"Helen Merrill",47168
"Tango Piazzolla: Astor Piazzolla Key Works 1984-1989",23794
"Great Melodies of the Classics",1
"Six Modular Pieces",47412
"Symphonie Nr. 6 Â»PathÃ©tiqueÂ« / Â»Romeo & JuliaÂ«",1475822
"Maailman kauneinta taidemusiikkia",1
Mistrial,2494
"The Four Sections / Music for Mallet Instruments, Voices and Organ",1096035
Panorama,1434
"Degradation Trip",1951
"The Doors Box Set",1757
"Highly Evolved",37430
"Pretty Together",2128
"Shania Twain",973
Dynasty,1234915
"Fiddler on the Roof",209576
"Your Hundred Best Tunes, Volume 1",1
"Hollywood Town Hall",980
"Classics for Romance",1
"Stars & Stripes, Volume 1",1135
"World Party",11428
"Thereâ€™s One in Every Crowd",938
Habana,47783
Chanchullo,36601
"How Dare You!",18
"Stravinsky: PÃ©trouchka / Prokofiev: Sonate No. 7 / Webern: Variationen, op. 27 / Boulez: Sonate No. 2",974424
"461 Ocean Boulevard",938
"24 PrÃ©ludes / Sonata no. 2 / Polonaise, op. 53",1316167
Bloodletting,30965
"Dance of December Souls",34434
"Busted Stuff",502
"Yoshimi Battles the Pink Robots",1114
Santiago,121
"Greatest Hits",46776
"Klavierkonzerte no. 1 / Klavierkonzerte no. 2 / Totentanz",1299824
"Julian Lloyd Webber Plays Andrew Lloyd Webber",1002613
Magazine,1883
"The World's Greatest Classical Masterpieces",1
"Night Songs",9379
Three,47670
Chaos,1884
"Damn the Machine",48237
"Hide Your Face",40959
Stars,48274
"Another 5 Songs and a Poem",1203
"To Make Me Who I Am",2821
"Mystery Girl",1812
"Hot in the Shade",1234915
"Wonders of the World",12164
"Lara Croft: Tomb Raider: Music From the Motion Picture",1
"Perpetual Motion",15860
"Mainstation Housesession",48454
CSN,12103
"Journey to Anywhere",11872
"Summon the Heroes",988375
"Heart Like a Wheel",1645
"Itâ€™s Only Rock â€™n Roll",825
"Dance 2000",38843
"Symphony no. 4 / Romeo and Juliet",1086886
"Time Takes Time",48504
"Songs From an American Movie, Vol. One: Learning How to Smile",507
"Live at the Hollywood Bowl",1757
"Sex Sleep Eat Drink Dream",2259
"Scheherazade and Other Stories",3562
Brave,2546
"The Blue Idol",1730
"The Best of Dolores Keane",34294
"Featuringâ€¦Ice Cube",166
"I Get Wet",43008
"NovaMute Kompilation",1
"The Very Best of Classical Masterpieces",1
"It's Not About the Melody",31299
"Wanted: Oedipus Tex & Other Choral Calamities",12141
Overtures,122653
